지점,지점명,일시,평균기온(°C),일강수량(mm),최대 풍속(m/s),합계 일사량(MJ/m2),평균 전운량(1/10)
108,서울,2018-08-15,31.7,1,5.8,18.41,6.4
108,서울,2018-08-16,29.9,,3,24.88,3.3
108,서울,2018-08-17,27.2,,3.5,26.23,0
108,서울,2018-08-18,26.7,,3.8,23.27,5
108,서울,2018-08-19,28.2,,3.3,19.79,7.9
108,서울,2018-08-20,29.1,0,5.1,15.07,8.4
108,서울,2018-08-21,26.6,5,7.1,12.86,6.3
108,서울,2018-08-22,30.7,,3.2,22.27,4.5
108,서울,2018-08-23,29.4,3,2.8,9.3,9.5
108,서울,2018-08-24,24.4,7.5,4.2,5.69,9.6
108,서울,2018-08-25,25.2,,5.3,16.21,7
108,서울,2018-08-26,23.2,2,3.8,13.54,6.4
108,서울,2018-08-27,22.7,19.5,2.1,7.84,8.9
108,서울,2018-08-28,23.7,96.5,3.7,4.42,9
108,서울,2018-08-29,25.2,42,4.5,2.75,10
108,서울,2018-08-30,25.3,9.5,3.7,8.74,9.4
108,서울,2018-08-31,25.6,.1,3.7,22.17,4.5
108,서울,2018-09-01,25.5,,2.3,21.01,1.5
108,서울,2018-09-02,25.1,,2.8,20.34,5.5
108,서울,2018-09-03,23.3,34.5,5.5,3.36,9.8
108,서울,2018-09-04,23.2,,5.2,21.64,5.1
108,서울,2018-09-05,24,,5.7,22.46,1.9
108,서울,2018-09-06,24.1,1,5,11.03,7.9
108,서울,2018-09-07,22,.5,4.3,19.58,4.9
108,서울,2018-09-08,21.7,,3.9,22.75,.3
108,서울,2018-09-09,22.2,,2.8,21.4,1.4
108,서울,2018-09-10,22.9,,2.7,19.84,2.4
108,서울,2018-09-11,21.6,,2.4,17.85,7.5
108,서울,2018-09-12,22.8,,3.2,20.39,4.1
108,서울,2018-09-13,23.5,,2.4,12.93,7.9
108,서울,2018-09-14,23.5,.5,2.6,9.8,8.3
108,서울,2018-09-15,23.3,.2,2.4,7.44,9.8
108,서울,2018-09-16,22.2,2,3.7,6.44,10
108,서울,2018-09-17,22.3,.1,3.8,20.42,5.3
108,서울,2018-09-18,22,,3.4,15.85,8.3
108,서울,2018-09-19,22.1,.2,2.9,10.66,9.5
108,서울,2018-09-20,19,5,2.9,4.08,10
108,서울,2018-09-21,19.4,18,2.3,6.31,9.3
108,서울,2018-09-22,20.8,6.5,5.3,19.06,2.1
108,서울,2018-09-23,19.4,0,4.3,14.77,4.4
108,서울,2018-09-24,17.6,,4.4,20.96,1.1
108,서울,2018-09-25,17.8,,2.2,20.19,2.1
108,서울,2018-09-26,19.4,,2.7,17.06,5
108,서울,2018-09-27,18.9,,2.4,18.26,.9
108,서울,2018-09-28,17.5,,2.1,8.76,6.1
108,서울,2018-09-29,20.2,,2.4,19.37,.4
108,서울,2018-09-30,17.6,,5.5,16.95,.6
108,서울,2018-10-01,15.4,0,6.1,15.1,4.5
108,서울,2018-10-02,15.9,,4.1,18.84,.5
108,서울,2018-10-03,17.3,,4,18.49,0
108,서울,2018-10-04,19.3,,2.4,15.88,6.5
108,서울,2018-10-05,16.9,36.5,3.2,2.74,9.8
108,서울,2018-10-06,18,55.5,5.3,6.86,7.5
108,서울,2018-10-07,16.4,,3.6,15.65,2.9
108,서울,2018-10-08,14.8,,2.7,15.28,4.4
108,서울,2018-10-09,15.3,0,2.7,8.89,9
108,서울,2018-10-10,12,7,4.7,10.3,6.8
108,서울,2018-10-11,9.7,,5.6,15.42,1.4
108,서울,2018-10-12,10.9,,3.2,17.67,0
108,서울,2018-10-13,12.5,,2.9,16.78,0
108,서울,2018-10-14,13.2,,3.1,16.08,3.4
108,서울,2018-10-15,15.2,,3.5,11.26,4
108,서울,2018-10-16,14.5,,3,13.15,5.6
108,서울,2018-10-17,12.4,,3.6,16.44,0
108,서울,2018-10-18,12.7,,2.7,13.37,3.1
108,서울,2018-10-19,13.1,,3.8,16.23,0
108,서울,2018-10-20,13.4,,3,15.97,1.1
108,서울,2018-10-21,13.4,,2.9,15.77,2.4
108,서울,2018-10-22,14,,2.6,12.13,5.3
108,서울,2018-10-23,12.2,5,5,7.68,5.4
108,서울,2018-10-24,12.5,,3.4,13.64,.5
108,서울,2018-10-25,13.8,,1.6,13.56,4
108,서울,2018-10-26,12.2,11,5.4,3,7.5
108,서울,2018-10-27,8.7,,5.8,11.6,1.6
108,서울,2018-10-28,8.3,5.5,5.9,6.66,7.3
108,서울,2018-10-29,7.2,0,5.3,9.84,5.9
108,서울,2018-10-30,6.1,0,3.5,14.55,3.3
108,서울,2018-10-31,7.4,0,4.1,14.51,.8
108,서울,2018-11-01,8.4,,3.6,13.95,0
108,서울,2018-11-02,10.6,,2.5,13.52,0
108,서울,2018-11-03,11.2,,4,13.59,0
108,서울,2018-11-04,11.6,,3.4,13.41,2.1
108,서울,2018-11-05,11.9,,2.3,11.09,5.3
108,서울,2018-11-06,12.2,,2.6,7.85,6.9
108,서울,2018-11-07,12.8,2,2.8,4.05,9.9
108,서울,2018-11-08,11.8,64,5,1.31,10
108,서울,2018-11-09,12.1,1,5.6,9.75,7.9
108,서울,2018-11-10,11.9,0,3.3,11.14,3.1
108,서울,2018-11-11,8.1,0,3.7,3.72,6.4
108,서울,2018-11-12,8.1,,3.3,12.12,0
108,서울,2018-11-13,8.8,,3,11.7,.4
108,서울,2018-11-14,9.8,,3.1,11.61,.1
108,서울,2018-11-15,9.7,,2.4,9.55,4.8
108,서울,2018-11-16,8.8,,4,8.28,6.5
108,서울,2018-11-17,4.9,,3.7,9.17,4.6
108,서울,2018-11-18,6.1,,3.1,7.49,6.9
108,서울,2018-11-19,6.5,,4.4,7.83,1.9
108,서울,2018-11-20,6.5,.2,4.2,11.03,2
108,서울,2018-11-21,5.8,1,4.5,2.95,8.4
108,서울,2018-11-22,2.3,,5.6,10.82,.8
108,서울,2018-11-23,1.9,,3.7,10.76,3.1
108,서울,2018-11-24,2.6,10.9,3.3,3.38,9
108,서울,2018-11-25,4.8,,1.9,7.9,3.8
108,서울,2018-11-26,6.3,,1.9,10.05,.6
108,서울,2018-11-27,7.1,,3.7,4.62,6.1
108,서울,2018-11-28,5,,3.7,9.68,3.8
108,서울,2018-11-29,3.5,0,3.3,2.81,5.8
108,서울,2018-11-30,2.7,,3.3,10.22,1
108,서울,2018-12-01,5.5,,2.5,9.88,3.6
108,서울,2018-12-02,8.2,,2.2,5.59,6.5
108,서울,2018-12-03,11.5,9.5,3.2,.65,9.9
