지점,지점명,일시,평균기온(°C),일강수량(mm),최대 풍속(m/s),합계 일사량(MJ/m2),평균 전운량(1/10)
108,서울,2019-04-18,12.6,0,5.3,5.88,6.3
108,서울,2019-04-19,13.8,,3.2,15.84,4.8
108,서울,2019-04-20,14.3,1.2,4.5,14.63,7.1
108,서울,2019-04-21,14.8,.3,4.2,13.42,7.9
108,서울,2019-04-22,19.3,,4.2,23.42,2.3
108,서울,2019-04-23,20.4,0,3.8,13.14,8.4
108,서울,2019-04-24,19.5,4.1,4.5,18.91,5
108,서울,2019-04-25,13.2,11.3,3.6,3.48,9.4
108,서울,2019-04-26,8.4,4.9,3.5,3.51,8
108,서울,2019-04-27,11.6,,3.6,23.24,4.8
108,서울,2019-04-28,12.9,0,3.7,12.09,8.1
108,서울,2019-04-29,13,,2,9.81,5.8
108,서울,2019-04-30,15.5,,4.2,21.75,4.4
108,서울,2019-05-01,16.4,,4.8,24.41,1.9
108,서울,2019-05-02,17.1,,5.1,27.27,0
108,서울,2019-05-03,17.9,,4.4,25.59,0
108,서울,2019-05-04,19.5,,4.1,22.12,4.9
108,서울,2019-05-05,19.2,,5.3,25.14,5.1
108,서울,2019-05-06,14.5,0,5.3,28.25,.3
108,서울,2019-05-07,15,,5,27.02,0
108,서울,2019-05-08,15.6,,5.1,23.39,6.1
108,서울,2019-05-09,16.6,,4.5,25.46,3.1
108,서울,2019-05-10,17.8,,4.1,25.19,3.5
108,서울,2019-05-11,20.3,,3.9,25.19,2
108,서울,2019-05-12,21.6,,3.1,21.82,4.3
108,서울,2019-05-13,18.7,0,4.9,8.51,8.3
108,서울,2019-05-14,19.6,,4.1,25.35,1.6
108,서울,2019-05-15,20.7,,3.9,21.24,4.5
108,서울,2019-05-16,23.5,,4.1,25.19,2.5
108,서울,2019-05-17,23.6,,3.2,14.72,7.5
108,서울,2019-05-18,22.8,0,4.8,16.28,8.5
108,서울,2019-05-19,19.4,22,2.7,5.22,10
108,서울,2019-05-20,16.4,8.7,6.1,24.95,4.5
108,서울,2019-05-21,17.2,,5.9,28.89,0
108,서울,2019-05-22,19.5,,5.4,27.5,1.4
108,서울,2019-05-23,22.1,,3.5,27.36,0
108,서울,2019-05-24,24.2,,4.1,26.13,1.4
108,서울,2019-05-25,23.4,,4.2,18.83,7.9
108,서울,2019-05-26,24.5,,4.5,25.81,6
108,서울,2019-05-27,17.8,7.1,5.3,2.33,8.6
108,서울,2019-05-28,18.1,,4.9,28.01,2.1
108,서울,2019-05-29,20.3,,4.9,28.48,.4
108,서울,2019-05-30,19.6,0,5.4,18.28,7.9
108,서울,2019-05-31,19.1,,5.4,27.46,2.3
108,서울,2019-06-01,18.9,,4.2,21.1,5.5
108,서울,2019-06-02,21.1,,4.6,26.48,.6
108,서울,2019-06-03,23.1,,5,25.57,.6
108,서울,2019-06-04,22.6,,4.4,26.21,3
108,서울,2019-06-05,23,,4.3,24.14,5.4
108,서울,2019-06-06,21.2,7.5,4.1,5.33,9.1
108,서울,2019-06-07,20,35.3,3.5,13.41,7.4
108,서울,2019-06-08,21.9,,4,21.14,5.9
108,서울,2019-06-09,21.6,2.5,4,16.87,8.9
108,서울,2019-06-10,18.4,9.5,2.4,11.01,8
108,서울,2019-06-11,20.5,,3,21.58,3.5
108,서울,2019-06-12,21.5,,4.6,25.26,1.1
108,서울,2019-06-13,23,,4,27.4,3.1
108,서울,2019-06-14,23,,4.2,19.46,6.1
108,서울,2019-06-15,21.9,2.1,5.3,25.94,3.1
108,서울,2019-06-16,22,,4.7,22.45,3.9
108,서울,2019-06-17,21.7,0,4.1,25.36,4.5
108,서울,2019-06-18,20.8,13.8,4,11.26,9.5
108,서울,2019-06-19,21.4,.2,4.1,11.24,9.4
108,서울,2019-06-20,22.7,,4.2,20.91,8
108,서울,2019-06-21,22.1,.2,3.7,12.51,7.3
108,서울,2019-06-22,24.2,,2.9,27.01,2.1
108,서울,2019-06-23,25,,4.4,26.05,3
108,서울,2019-06-24,25.2,,4.1,27.57,1.6
108,서울,2019-06-25,25.6,,4.2,27.13,1.3
108,서울,2019-06-26,25.5,0,3.1,12.11,9.5
108,서울,2019-06-27,25.5,1.4,3.5,14.79,8.3
108,서울,2019-06-28,24.7,0,3.8,10.92,8.5
108,서울,2019-06-29,23.1,1.5,3.2,12.49,8.1
108,서울,2019-06-30,23.9,0,4.5,16.32,6.9
108,서울,2019-07-01,23.9,,5.2,20.33,4.9
108,서울,2019-07-02,24.4,,4.3,21.13,4
108,서울,2019-07-03,24.1,,3.8,12.62,6.4
108,서울,2019-07-04,25.4,,4.5,27.41,2.4
108,서울,2019-07-05,27.6,0,4.3,24.78,3.8
108,서울,2019-07-06,29.7,,3.9,25.87,3.4
108,서울,2019-07-07,26.7,,3.3,22.4,7.5
108,서울,2019-07-08,25.1,,3.3,20.54,6
108,서울,2019-07-09,25,,3.1,18.2,4.9
108,서울,2019-07-10,22.7,8.5,3.3,13.4,8.4
108,서울,2019-07-11,21.9,2.9,2.8,8.59,9.9
108,서울,2019-07-12,23.6,,4.4,18.43,6.8
108,서울,2019-07-13,24.9,0,3.9,15,6.4
108,서울,2019-07-14,25.9,,3.8,20.36,4.5
108,서울,2019-07-15,23.8,7.7,3,7.32,7.5
108,서울,2019-07-16,24.7,6.3,3.4,13.41,7.3
108,서울,2019-07-17,25.6,.7,2.9,11.19,9
108,서울,2019-07-18,26.9,,3.2,12.78,6.4
108,서울,2019-07-19,28.6,0,4.6,21.8,4.6
108,서울,2019-07-20,28,1.1,3.6,10.92,9.5
108,서울,2019-07-21,25.1,6.2,4.4,6.18,9.4
108,서울,2019-07-22,26.7,.1,3.6,13.12,7.5
108,서울,2019-07-23,28.1,,3.6,13.34,8.6
108,서울,2019-07-24,26.5,1,3.4,3.17,9.6
108,서울,2019-07-25,26.3,9.7,3.4,3.47,9.9
108,서울,2019-07-26,25.1,60,4.5,2.35,9.9
108,서울,2019-07-27,28.4,.6,3.9,15.31,7.6
108,서울,2019-07-28,26.1,25.6,4.8,2.87,9.8
108,서울,2019-07-29,27.5,.5,5,9.43,8
108,서울,2019-07-30,28.1,1.2,5.9,8.26,8.8
108,서울,2019-07-31,25.8,62.3,5.3,3.01,9.8
108,서울,2019-08-01,26.3,26.9,4.6,13.55,7.8
108,서울,2019-08-02,28.4,,3,15.74,3.5
108,서울,2019-08-03,29.4,3,4.5,21.04,3.6
108,서울,2019-08-04,28.3,8.6,3.3,17.53,5.8
108,서울,2019-08-05,30.5,,3.2,20.66,2.5
108,서울,2019-08-06,31.6,,2.8,22.91,6.8
108,서울,2019-08-07,26.9,8,2.8,6.91,8
108,서울,2019-08-08,28.9,0,3.6,15.87,6.6
108,서울,2019-08-09,29.8,,4.1,19.37,4.9
108,서울,2019-08-10,31.5,,3.4,22.69,5.1
108,서울,2019-08-11,30.4,6.7,4.1,21.52,6.8
108,서울,2019-08-12,26.6,56.2,2.3,4.8,8.9
108,서울,2019-08-13,29.2,6.4,4.7,16.91,7.4
108,서울,2019-08-14,30.4,,3.1,20.99,4
108,서울,2019-08-15,25.9,16.2,2.7,5.51,9.1
108,서울,2019-08-16,25.9,.1,5,14.1,6.3
108,서울,2019-08-17,25.9,0,4.6,13.25,5
108,서울,2019-08-18,25.6,,3.2,18.61,4.5
108,서울,2019-08-19,26.3,,2.7,18.16,4.6
108,서울,2019-08-20,28.2,,3.2,21.06,2.6
108,서울,2019-08-21,27,1.3,3.2,11.43,7.6
108,서울,2019-08-22,26.9,,4.4,23.16,6.3
108,서울,2019-08-23,26.2,,4.4,23.84,4.4
108,서울,2019-08-24,24.1,,3.5,8.25,5.5
108,서울,2019-08-25,25,,4,17.85,3.4
108,서울,2019-08-26,26.4,,4,18.4,6.4
108,서울,2019-08-27,25.7,20,2.5,13.22,8.1
108,서울,2019-08-28,26.1,,4.3,,5.9
108,서울,2019-08-29,23.4,36.9,7.5,,5.6
108,서울,2019-08-30,22.6,.2,5,17.84,5.3
108,서울,2019-08-31,23.5,,4.7,21.07,2.3
108,서울,2019-09-01,23.7,,2.9,15.17,6.1
108,서울,2019-09-02,24.4,,3.5,16.85,6.1
108,서울,2019-09-03,24.1,0,3.8,11.6,8.5
108,서울,2019-09-04,22.8,22.7,4.5,5.68,9.3
108,서울,2019-09-05,23,36.4,5,6.07,9
108,서울,2019-09-06,25.3,2.4,3.4,9.29,10
108,서울,2019-09-07,25.7,2.8,11.8,2.95,10
108,서울,2019-09-08,24.7,0,4.8,9.31,9.3
108,서울,2019-09-09,25.1,0,3.6,10.04,9.3
108,서울,2019-09-10,23.8,63.2,4,5.74,9.8
108,서울,2019-09-11,24.3,7.6,4.7,16.56,7.9
108,서울,2019-09-12,21,3.9,4.8,4.09,9.8
108,서울,2019-09-13,23.3,.1,3.5,21.35,4.3
108,서울,2019-09-14,22.4,.3,2.9,3.34,8.8
108,서울,2019-09-15,24.2,,4.1,18.19,5.5
108,서울,2019-09-16,24.5,,4.5,19.91,3.6
108,서울,2019-09-17,23.5,,4.4,20.01,6.4
108,서울,2019-09-18,21,,4.9,21.9,1.1
108,서울,2019-09-19,19.5,,4.3,19.83,3.5
108,서울,2019-09-20,19.6,,3.5,8.64,9.4
108,서울,2019-09-21,19.6,,3.7,4.44,9.6
108,서울,2019-09-22,18.6,.4,6.4,3.2,9.4
108,서울,2019-09-23,20,,5,16.92,3.1
108,서울,2019-09-24,19.8,,3.5,20.17,0
108,서울,2019-09-25,20.9,,3,16.44,5.9
108,서울,2019-09-26,22.9,,3.3,15.5,8.4
108,서울,2019-09-27,22.9,,3.1,10.42,8.6
108,서울,2019-09-28,23.7,,3.3,15.97,3.8
108,서울,2019-09-29,22.6,,4,18.83,.3
108,서울,2019-09-30,22.4,,3.4,18.37,0
108,서울,2019-10-01,23.1,,4.4,13.05,6.8
108,서울,2019-10-02,21.6,23.1,5.5,3.4,9.9
108,서울,2019-10-03,22.4,4.6,4.9,10.14,6.3
108,서울,2019-10-04,22.4,,3.9,16.23,3.6
108,서울,2019-10-05,18.7,.6,4.6,8.24,7
108,서울,2019-10-06,18.1,,4.8,16.17,6.1
108,서울,2019-10-07,14.8,25.4,3.6,1.49,9.5
108,서울,2019-10-08,14.7,,6.2,16.78,2.6
108,서울,2019-10-09,13.6,,3.8,17.42,1.9
108,서울,2019-10-10,15.2,,2.8,8.06,9
108,서울,2019-10-11,18.8,,4.9,16.44,.9
108,서울,2019-10-12,17.9,,6.7,17.37,.6
108,서울,2019-10-13,17.2,,4.1,16.52,2.1
108,서울,2019-10-14,14.4,,5.1,14.54,1.9
108,서울,2019-10-15,14.5,,4.3,14.07,3
108,서울,2019-10-16,14.6,,3.6,15.6,5.3
108,서울,2019-10-17,15.4,,3.5,12.02,4.8
108,서울,2019-10-18,17,,4.3,12.08,7.1
108,서울,2019-10-19,17,,3.7,15.17,.8
108,서울,2019-10-20,16.5,,3,14.67,.6
108,서울,2019-10-21,17.1,,2.4,14.4,2.1
108,서울,2019-10-22,18.1,,3.3,13.66,4.4
108,서울,2019-10-23,17,,4.4,8.08,8
108,서울,2019-10-24,18.3,,5.1,11.56,4.5
108,서울,2019-10-25,16.7,0,5.6,12.29,6.6
108,서울,2019-10-26,10,,5.2,13.08,2.3
108,서울,2019-10-27,11,,4.2,14.45,.9
108,서울,2019-10-28,12.9,1.7,4.7,11.62,5.6
108,서울,2019-10-29,12.5,.1,5.2,12.41,1.6
108,서울,2019-10-30,11.2,,3.8,14.08,.3
108,서울,2019-10-31,14.8,,5.2,10.34,4.6
108,서울,2019-11-01,14.9,,3.9,13.85,1.9
108,서울,2019-11-02,13.6,,2.9,7.69,8.1
108,서울,2019-11-03,14.7,,4.7,12.51,4
108,서울,2019-11-04,13.8,,3.7,13.83,0
108,서울,2019-11-05,12.4,,3.8,11.04,1.4
108,서울,2019-11-06,11,,4.4,10.63,5
108,서울,2019-11-07,9.2,,5.3,13.4,1.6
108,서울,2019-11-08,6.8,,4.4,13.98,0
108,서울,2019-11-09,9.5,,4.2,13.15,.3
108,서울,2019-11-10,10,11.8,3.8,6.6,8.9
108,서울,2019-11-11,11.2,1.1,4.8,8.97,5.9
108,서울,2019-11-12,9.3,,2.7,8.06,3.6
108,서울,2019-11-13,7.2,7.5,6,1.25,8.5
108,서울,2019-11-14,1.3,,5.8,13.15,1
108,서울,2019-11-15,5.6,18.8,3.5,1.92,8.1
108,서울,2019-11-16,6.8,,3,8.92,5.5
108,서울,2019-11-17,8.3,21.1,6.4,1.32,9.3
108,서울,2019-11-18,4.6,14.7,7,10.26,7.1
108,서울,2019-11-19,.2,0,5.8,11.93,1.4
108,서울,2019-11-20,.5,,4.6,12.18,0
108,서울,2019-11-21,4.2,,4.2,7.4,6.1
108,서울,2019-11-22,9.7,,4.8,11.2,1.4
108,서울,2019-11-23,12.1,,3.6,8.5,6.1
108,서울,2019-11-24,9.8,3.8,6,3.84,7.1
108,서울,2019-11-25,1.9,,5.9,7.87,4.4
108,서울,2019-11-26,6.6,,4.5,9.78,3.9
108,서울,2019-11-27,3.1,,4.6,10.43,4
108,서울,2019-11-28,3.5,,4.3,11.21,1.8
108,서울,2019-11-29,1.5,,4,11.4,.9
108,서울,2019-11-30,4.1,,3.4,8.01,6
108,서울,2019-12-01,4.6,3.3,4.1,1.89,9.3
108,서울,2019-12-02,-.1,,6.2,10.42,2.4
108,서울,2019-12-03,.5,.6,3.6,5.01,6.3
108,서울,2019-12-04,2,0,4.4,10.18,1
108,서울,2019-12-05,-4.4,,6,11.34,0
108,서울,2019-12-06,-5.9,,3.8,11.24,.6
108,서울,2019-12-07,-2.4,.1,3.1,2.86,6.6
108,서울,2019-12-08,-.9,,3.2,10.65,1.1
108,서울,2019-12-09,3.2,0,3.9,3.46,7.9
108,서울,2019-12-10,8.1,1.7,3.5,5.03,8.9
108,서울,2019-12-11,6.3,.2,7.2,5.75,5.9
108,서울,2019-12-12,-.7,,4.2,10.73,0
108,서울,2019-12-13,2.1,1,4.3,6.07,6.8
108,서울,2019-12-14,2.7,0,5.3,10.07,3
108,서울,2019-12-15,5.3,,3.6,8.91,2.9
108,서울,2019-12-16,7.8,,3.2,7.71,6.1
108,서울,2019-12-17,7.7,9.8,4.5,1.17,8.6
108,서울,2019-12-18,.8,,4.2,9.83,3.5
108,서울,2019-12-19,-.8,0,4.8,9.96,1.8
108,서울,2019-12-20,-1.1,0,3.9,10.45,1.4
108,서울,2019-12-21,-1.2,.6,2.9,3.35,5.5
108,서울,2019-12-22,4.1,.3,3.5,7.2,7.8
108,서울,2019-12-23,3.4,2.9,4.2,5.1,6.1
108,서울,2019-12-24,.8,,3.1,9.43,.8
108,서울,2019-12-25,2,,3.2,6.64,5.9
108,서울,2019-12-26,2,.3,5.2,3.72,5.4
108,서울,2019-12-27,-1.7,,4.3,10.36,0
108,서울,2019-12-28,1.1,,3.7,8.09,3.5
108,서울,2019-12-29,3.8,1.4,4.4,3.28,9
108,서울,2019-12-30,2.7,.4,7.4,2.24,7.5
108,서울,2019-12-31,-7.9,0,7.5,11.11,1.3
108,서울,2020-01-01,-2.2,.1,2.6,4.53,8.9
108,서울,2020-01-02,1,,4,3.47,7.9
108,서울,2020-01-03,-.1,,3.5,10.1,0
108,서울,2020-01-04,1.2,,4.5,9.29,2.1
108,서울,2020-01-05,1.3,,2.9,9.1,3.9
108,서울,2020-01-06,3.1,1.8,5.4,2.03,9.8
108,서울,2020-01-07,6.3,46.3,6.3,.75,10
108,서울,2020-01-08,2.4,11.6,6.3,1.84,9.6
108,서울,2020-01-09,-1.2,,4.3,9.14,1.6
108,서울,2020-01-10,-.6,,3.7,9.39,3.1
108,서울,2020-01-11,-.1,,4.8,10.13,3.6
108,서울,2020-01-12,-1,,4.1,10.33,3.6
108,서울,2020-01-13,-2.9,,4.9,11.15,1.4
108,서울,2020-01-14,-2.3,,3.3,10.06,1
108,서울,2020-01-15,-2.7,,4.5,11.6,.1
108,서울,2020-01-16,-1.7,,4.4,10.75,5
108,서울,2020-01-17,-.6,,3.8,9.85,4.8
108,서울,2020-01-18,.3,,4.2,11.38,2.1
108,서울,2020-01-19,1.9,.6,6.1,6.08,4.8
108,서울,2020-01-20,.7,,5.7,10.24,2.3
108,서울,2020-01-21,-.4,,3.5,11.55,2.9
108,서울,2020-01-22,3,,3.2,6.8,7.8
108,서울,2020-01-23,4.6,,4.7,10.73,3.4
108,서울,2020-01-24,2.8,,3.7,10.53,3
108,서울,2020-01-25,4.3,,3.9,7.86,7.4
108,서울,2020-01-26,5.5,,6.1,11.21,5.8
108,서울,2020-01-27,5.9,.1,7,2.76,9.5
108,서울,2020-01-28,6.8,0,5.4,3.98,7.3
108,서울,2020-01-29,6,,3.6,7.3,6.6
108,서울,2020-01-30,5.2,,3,9.24,4
108,서울,2020-01-31,3.9,0,4.4,9.41,4.8
108,서울,2020-02-01,2.6,,4.7,7.17,3.4
108,서울,2020-02-02,1.5,,4.7,8.39,6.1
108,서울,2020-02-03,-.4,0,5.7,13.56,1.5
108,서울,2020-02-04,-1.6,1.7,6.2,10.01,3.9
108,서울,2020-02-05,-8.3,,5.5,14.82,0
108,서울,2020-02-06,-6.4,,4,13.97,.9
108,서울,2020-02-07,-1.7,0,3.5,10.14,8.9
108,서울,2020-02-08,-.1,0,5.3,13.89,2.5
108,서울,2020-02-09,-.5,0,4.4,14.33,2.8
108,서울,2020-02-10,4,0,4.2,14.22,1.1
108,서울,2020-02-11,6.8,,3.6,10.91,2.3
108,서울,2020-02-12,7.4,6.7,5,2.86,9.9
108,서울,2020-02-13,6.5,,3.2,6.43,9.1
108,서울,2020-02-14,8.1,,3,13.13,2.1
108,서울,2020-02-15,9.8,2,5,8.77,5.8
108,서울,2020-02-16,-1.4,13.4,6.6,4.14,8.9
108,서울,2020-02-17,-5.9,1,5.6,7.08,6.5
108,서울,2020-02-18,-4.1,,4.1,16.78,0
108,서울,2020-02-19,1,,3.2,12.13,6
108,서울,2020-02-20,4.6,,3.3,13.71,2.5
108,서울,2020-02-21,6.7,4.2,5.3,6.5,9.3
108,서울,2020-02-22,4,3.1,8.2,9.06,5.9
108,서울,2020-02-23,2.5,,4.2,17.37,.9
108,서울,2020-02-24,7,,3.4,13.21,7
108,서울,2020-02-25,6.7,16.6,6.8,4.11,7.5
108,서울,2020-02-26,6.4,0,4,10.45,5.3
108,서울,2020-02-27,6.1,,4.4,16.77,2.6
108,서울,2020-02-28,4.5,3.9,4.2,2.41,9.8
108,서울,2020-02-29,7.7,.5,4.2,17.12,3
108,서울,2020-03-01,5.8,.2,4.7,5.4,8.1
108,서울,2020-03-02,3.4,0,4.9,17.08,1.6
108,서울,2020-03-03,4.8,,4.7,10.62,6.5
108,서울,2020-03-04,2.2,0,6.8,10.41,5.1
108,서울,2020-03-05,1.4,,4.1,19.25,0
108,서울,2020-03-06,3.7,,3.6,16.82,2.5
108,서울,2020-03-07,7,,4.1,13,5.4
108,서울,2020-03-08,9.3,,4.6,18.27,.3
108,서울,2020-03-09,11.1,,4.5,14.19,6.5
108,서울,2020-03-10,6.4,11.8,5.3,2.72,7.5
108,서울,2020-03-11,3.8,,5.5,20.72,0
108,서울,2020-03-12,6.8,,5.4,14.32,4
108,서울,2020-03-13,4.9,.5,5.4,17.82,6.6
108,서울,2020-03-14,3.6,,6.8,18.6,2.1
108,서울,2020-03-15,4,,7.8,17.29,3.1
108,서울,2020-03-16,3.6,,5.2,21.18,1
108,서울,2020-03-17,6.6,,5.2,6.89,4.8
108,서울,2020-03-18,10,,4.4,20.66,0
108,서울,2020-03-19,9.1,0,8.2,15.51,3.4
108,서울,2020-03-20,8.8,,6.6,20.58,.4
108,서울,2020-03-21,12.8,,5.1,14.83,6.9
108,서울,2020-03-22,11,,5.6,22.54,.1
108,서울,2020-03-23,10.6,,4.8,20.72,0
108,서울,2020-03-24,11.4,,4,21.06,0
108,서울,2020-03-25,12.5,,5.3,19.29,4
108,서울,2020-03-26,14.8,1.8,5.3,11.97,6.9
108,서울,2020-03-27,11.9,2,5.8,17.04,5.1
108,서울,2020-03-28,7.7,,5.5,19.87,5.1
108,서울,2020-03-29,8.7,,4.6,23.12,1.5
108,서울,2020-03-30,10.2,,4.1,22.73,.9
108,서울,2020-03-31,11.9,,4.4,20.68,5.5
108,서울,2020-04-01,11.3,,7.3,19.12,3.5
108,서울,2020-04-02,9.3,,5.5,21.25,2.6
108,서울,2020-04-03,10,,5.7,22.56,1.3
108,서울,2020-04-04,8.9,,6.3,23.33,.8
108,서울,2020-04-05,7.2,,5.4,24.58,0
108,서울,2020-04-06,9.3,,5.9,22.51,3.5
108,서울,2020-04-07,10.6,,5.1,19.3,2.1
108,서울,2020-04-08,9.4,,5.9,24.86,0
108,서울,2020-04-09,8.9,,5.7,24.79,1.3
108,서울,2020-04-10,10.7,,4.1,21.07,4.8
108,서울,2020-04-11,9.9,,4.9,19.4,4.8
108,서울,2020-04-12,9.9,,7.4,19.25,3.1
108,서울,2020-04-13,12.4,,5.5,26.02,1.9
108,서울,2020-04-14,13,,5.3,25.93,1.3
108,서울,2020-04-15,13.2,,5.6,21.49,5.4
108,서울,2020-04-16,16,,4.5,22.96,2.9
108,서울,2020-04-17,12.5,6.5,4.8,4.23,9.1
108,서울,2020-04-18,13.5,,4.8,23.09,2.6
108,서울,2020-04-19,12.3,10.3,5.2,5.25,9.5
108,서울,2020-04-20,10,.1,6.8,7.34,7.4
108,서울,2020-04-21,7.4,,8.9,23.63,3.6
108,서울,2020-04-22,6,0,6.4,15.89,4.1
108,서울,2020-04-23,7.9,,7.9,25.72,1.6
108,서울,2020-04-24,9.9,,8.2,26.61,1.8
108,서울,2020-04-25,13.1,,7.8,18.9,3.3
108,서울,2020-04-26,12.3,,6.5,28.36,.8
108,서울,2020-04-27,12.9,,5.5,22.98,3.4
108,서울,2020-04-28,13.9,,5.5,26.97,0
108,서울,2020-04-29,14.9,,5.2,26.1,.4
108,서울,2020-04-30,17.1,,5.9,24.03,5.3
108,서울,2020-05-01,20.2,,5.5,18.96,6.6
108,서울,2020-05-02,20.3,0,4.6,9.43,9
108,서울,2020-05-03,21.8,0,3.9,19.41,7
108,서울,2020-05-04,20.2,,4.6,25.42,3.4
108,서울,2020-05-05,16,,5.3,9.41,5.4
108,서울,2020-05-06,19.4,,4.4,28.51,1.8
108,서울,2020-05-07,20.7,,4.3,23.93,6.8
108,서울,2020-05-08,19.9,2.3,4.5,23.26,7.4
108,서울,2020-05-09,14.2,24.4,5.9,3,10
108,서울,2020-05-10,14.4,1.3,4.1,6.77,9
108,서울,2020-05-11,16.5,3.4,5.6,22.98,8.1
108,서울,2020-05-12,14.3,.7,5.4,13.6,3.3
108,서울,2020-05-13,16.1,,6.5,29.7,.6
108,서울,2020-05-14,19.3,,4.3,20.64,8.3
108,서울,2020-05-15,16.1,12,5.3,3.43,10
108,서울,2020-05-16,16.7,2.5,3.3,7.6,9.5
108,서울,2020-05-17,19.1,0,4.3,15.26,7.1
108,서울,2020-05-18,19.1,29.8,7.2,14.07,8.5
108,서울,2020-05-19,13,19,7.2,15.29,7.6
108,서울,2020-05-20,14.4,0,3,20.91,6
108,서울,2020-05-21,17.4,,3.3,24.35,4.8
108,서울,2020-05-22,18.5,0,4.9,13.07,8.6
108,서울,2020-05-23,20.1,0,4.7,23.24,7.4
108,서울,2020-05-24,17.1,14.5,6.5,10.59,8.4
108,서울,2020-05-25,16.6,,3.8,16.88,8.1
108,서울,2020-05-26,16.2,1.5,5.4,18.49,7.8
108,서울,2020-05-27,17.4,,5.9,30.06,1.5
108,서울,2020-05-28,18.7,0,3.9,22.83,3.9
108,서울,2020-05-29,20.7,,4.1,28.09,1.3
108,서울,2020-05-30,22.6,,4.3,26.5,1.1
108,서울,2020-05-31,21.2,1,5.7,19.15,8.5
108,서울,2020-06-01,19.7,.4,6.2,30.35,3.8
108,서울,2020-06-02,17.9,2,4.1,5.89,9.3
108,서울,2020-06-03,22,,5.6,24.64,5.8
108,서울,2020-06-04,21.9,.2,4.7,19.77,8.4
108,서울,2020-06-05,23,,3.8,23.36,5.5
108,서울,2020-06-06,24.6,,4.4,23.38,2.3
108,서울,2020-06-07,22.7,,5.1,26.04,3.3
108,서울,2020-06-08,25,,5.5,26.13,3
108,서울,2020-06-09,26.7,,4.3,28.36,3
108,서울,2020-06-10,25.8,6.2,6.2,18.85,9
108,서울,2020-06-11,26.1,0,4.6,26.03,5.8
108,서울,2020-06-12,24.7,,3,11.51,8.1
108,서울,2020-06-13,26.9,0,5,28.11,5.5
108,서울,2020-06-14,24,1.1,5.9,22.52,4.4
108,서울,2020-06-15,23,,6.3,26.53,6
108,서울,2020-06-16,24.4,,4.4,24.74,6
108,서울,2020-06-17,24.3,,4.3,21.25,7.4
108,서울,2020-06-18,23.4,,3.4,11,9
108,서울,2020-06-19,24.7,.1,4.2,19.6,6.3
108,서울,2020-06-20,24.9,,4.6,24.75,.9
108,서울,2020-06-21,26.1,,4.5,27.82,.1
108,서울,2020-06-22,28.6,,4.1,28.95,1.6
108,서울,2020-06-23,27.3,0,3.7,16.97,7.5
108,서울,2020-06-24,22.3,37.6,5.7,2.91,10
108,서울,2020-06-25,21.6,13.3,4.3,6.11,10
108,서울,2020-06-26,21.8,2.1,5.3,13.03,8.3
108,서울,2020-06-27,24.1,0,5.4,22.18,6.1
108,서울,2020-06-28,25.2,,4.7,28.6,1.9
108,서울,2020-06-29,23.8,11.9,5.9,8.4,8.6
108,서울,2020-06-30,20.1,64.7,7.6,6.2,10
108,서울,2020-07-01,21.1,0,3.7,9.47,7.6
108,서울,2020-07-02,24.2,,3.4,19.15,6.6
108,서울,2020-07-03,25.5,.1,6.1,27.47,6.8
108,서울,2020-07-04,24.2,1.6,4.4,26.88,7.6
108,서울,2020-07-05,23.8,,3.5,20.85,5.3
108,서울,2020-07-06,25.6,,4.7,19.28,7.4
108,서울,2020-07-07,24.1,0,4,15.15,6.3
108,서울,2020-07-08,25.5,,3.7,25.81,2.9
108,서울,2020-07-09,27.5,,3.6,23.1,4.8
108,서울,2020-07-10,24.5,2.2,6.6,12.3,6.6
108,서울,2020-07-11,25.8,,5,21.82,7.3
108,서울,2020-07-12,23.5,2.9,3.6,7.67,9.1
108,서울,2020-07-13,18.7,47.6,5.9,4.58,10
108,서울,2020-07-14,20.3,11.5,4.4,12.46,9.9
108,서울,2020-07-15,23.4,,3.4,26.6,5.1
108,서울,2020-07-16,25,,3.5,25.76,4.1
108,서울,2020-07-17,26,0,5.6,22.28,4.5
108,서울,2020-07-18,26.1,,4,15.49,5.4
108,서울,2020-07-19,24,29.1,4.3,4.92,9.9
108,서울,2020-07-20,23.8,3.6,7,5.15,9.6
108,서울,2020-07-21,25,0,4.2,17.83,6.3
108,서울,2020-07-22,23.7,11.5,3.4,4.5,9.8
108,서울,2020-07-23,21.1,103.1,8.3,2.72,10
108,서울,2020-07-24,22.5,2.9,8.7,10.46,9.3
108,서울,2020-07-25,24.3,0,6.1,15.59,7.8
108,서울,2020-07-26,25.4,0,3.3,18.14,7.4
108,서울,2020-07-27,24.3,2.2,3.2,7.72,10
108,서울,2020-07-28,24.4,.4,3.1,8.38,9.9
108,서울,2020-07-29,23.7,50.1,3.4,3.18,10
108,서울,2020-07-30,25.3,.1,3.8,15.34,8.3
108,서울,2020-07-31,26.2,1.5,4.6,14.5,6.9
108,서울,2020-08-01,25.3,39.1,4.9,5.31,9.8
108,서울,2020-08-02,24.9,31.4,7.5,2.55,10
108,서울,2020-08-03,25,102.6,8.3,3.09,10
108,서울,2020-08-04,27,3.9,5.7,8.06,9.6
108,서울,2020-08-05,26.5,18.5,4.6,5.02,9.8
108,서울,2020-08-06,24.1,75.7,6.5,6.74,8
108,서울,2020-08-07,24.3,0,3.3,6.7,9
